#boundary segments
179.202 -1539.94
196.021 -1557.15
214.316 -1576.07
226 -1588.27

337.338 0
394.669 57.3309

337.338 -1475.67
337.302 -1475.71
337.261 -1475.75
337.217 -1475.79
337.168 -1475.84
337.114 -1475.89
337.055 -1475.95
336.99 -1476.01
336.919 -1476.08
336.84 -1476.16
336.754 -1476.24
336.658 -1476.34
336.554 -1476.44
336.439 -1476.55
336.312 -1476.67
336.173 -1476.81
336.02 -1476.96
335.851 -1477.12
335.666 -1477.3
335.462 -1477.5
335.238 -1477.72
334.992 -1477.96
334.72 -1478.23
334.422 -1478.52
334.094 -1478.84
333.734 -1479.19
333.337 -1479.58
332.901 -1480
332.422 -1480.47
331.894 -1480.99
331.314 -1481.56
330.677 -1482.18
329.976 -1482.87
329.205 -1483.62
328.358 -1484.45
327.426 -1485.37
326.402 -1486.37
325.277 -1487.48
324.039 -1488.69
322.68 -1490.03
321.185 -1491.5
319.544 -1493.12
317.739 -1494.9
315.758 -1496.86
313.58 -1499.01
311.189 -1501.38
308.563 -1503.99
305.68 -1506.86
302.515 -1510.01
299.041 -1513.48
295.229 -1517.3
291.046 -1521.49
286.459 -1526.11
281.429 -1531.19
275.914 -1536.78
269.871 -1542.92
263.251 -1549.68
256.002 -1557.12
248.066 -1565.3
239.383 -1574.3
229.887 -1584.2
226 -1588.27

0 223.654
81.3319 304.986

394.669 68.336
394.669 57.3309

0 1871.19
0.03903 1871.23
0.081961 1871.26
0.129184 1871.31
0.181128 1871.35
0.238264 1871.41
0.30111 1871.46
0.370238 1871.52
0.446274 1871.59
0.529909 1871.67
0.621902 1871.75
0.723087 1871.84
0.834381 1871.94
0.956795 1872.05
1.09144 1872.17
1.23953 1872.31
1.40241 1872.45
1.58156 1872.61
1.77859 1872.79
1.9953 1872.99
2.23363 1873.2
2.49575 1873.44
2.78403 1873.7
3.10106 1873.98
3.44971 1874.3
3.83312 1874.64
4.25475 1875.02
4.7184 1875.44
5.22822 1875.9
5.78881 1876.41
6.40519 1876.96
7.08289 1877.57
7.82797 1878.25
8.64709 1878.99
9.54755 1879.8
10.5374 1880.7
11.6254 1881.68
12.8212 1882.77
14.1353 1883.96
15.5795 1885.27
17.1663 1886.72
18.9096 1888.3
20.8248 1890.05
22.9284 1891.97
25.2387 1894.09
27.7756 1896.41
30.5608 1898.97
33.6182 1901.78
36.9735 1904.87
40.6551 1908.28
44.6937 1912.02
49.1228 1916.14
53.9788 1920.67
59.3012 1925.65
65.1329 1931.13
71.5204 1937.16
78.5138 1943.79
86.1676 1951.09
94.5402 1959.11
103.695 1967.94
113.699 1977.65
124.626 1988.33
136.554 2000.08
149.565 2013
163.75 2027.22
179.202 2042.86
196.021 2060.06
214.316 2078.98
226 2091.18

452 1871.19
451.961 1871.23
451.918 1871.26
451.871 1871.31
451.819 1871.35
451.762 1871.41
451.699 1871.46
451.63 1871.52
451.554 1871.59
451.47 1871.67
451.378 1871.75
451.277 1871.84
451.166 1871.94
451.043 1872.05
450.909 1872.17
450.76 1872.31
450.598 1872.45
450.418 1872.61
450.221 1872.79
450.005 1872.99
449.766 1873.2
449.504 1873.44
449.216 1873.7
448.899 1873.98
448.55 1874.3
448.167 1874.64
447.745 1875.02
447.282 1875.44
446.772 1875.9
446.211 1876.41
445.595 1876.96
444.917 1877.57
